gate_id,world_id,condition_type,required_flag,required_item_id,required_rank,required_family_resonance,required_record_count,condition_summary,notes
GATE-001,W-001,story_flag,EVT_TWR_005_FIRST_GATE_REACTION_SEEN,,,,,"開始村導入を終え、塔前で最初の門反応を目撃する",
GATE-002,W-002,story_flag,EVT_W01_080_GATEKEEPER_DEFEATED,,,,,"W-001 の柵番を倒し、最初の越境世界を収束させる",
GATE-003,W-003,arena_rank,,,G,,,"G ランク闘技場クリア",
GATE-004,W-004,arena_rank,,,F,,,"F ランク闘技場クリア",
GATE-005,W-005,key_item,,item_key_memorialoffering,,,,"W-004 で得た供養品を門へ奉納する",
GATE-006,W-006,clue_count,,,,,3,"手がかりを 3 件以上記録する",
GATE-007,W-007,arena_rank,,,E,,,"E ランク闘技場クリア",
GATE-008,W-008,family_resonance,,,,beast:15,,"beast 系統 Lv15 以上を含むパーティで門に触れる",
GATE-009,W-009,composite,,item_key_evidencebundle,,,6,"手がかり 6 件以上と証拠束の両方を満たす",
GATE-010,W-010,key_item,,item_key_recordseal,,,,"W-009 で得た記録印を所持する",
GATE-011,W-011,story_flag,EVT_W10_080_LEDGER_TAMPERING_CONFIRMED,,,,,"塩庫台帳の改竄を確認する",
GATE-012,W-012,arena_rank,,,D,,,"D ランク闘技場クリア",
GATE-013,W-013,story_flag,EVT_W12_085_WITNESS_TESTIMONY_SECURED,,,,,"骨樋の港で witness flag を確保する",
GATE-014,W-014,family_resonance,,,,magic:20,,"magic 系統 Lv20 以上を含むパーティで門に触れる",
GATE-015,W-015,key_item,,item_key_blackcloth,,,,"鏡森深部の黒布を所持する",
GATE-016,W-016,key_item,,item_key_forgemark,,,,"W-015 で得た鍛印証拠を所持する",
GATE-017,W-017,clue_count,,,,,12,"手がかりを 12 件以上記録する",
GATE-018,W-018,story_flag,EVT_W17_090_EXPOSE_FLAG_SECURED,,,,,"残名の回廊で expose flag を獲得する",
GATE-019,W-019,arena_rank,,,C,,,"C ランク闘技場クリア",
GATE-020,W-020,story_flag,EVT_MAIN_ACT_5_REACHED,,,,,"第 5 幕到達",
GATE-021,W-021,story_flag,EVT_W20_095_CONTINUANCE_INQUIRY_CLEARED,,,,,"聖郭の審問を越える",
